,text,x,y,size,context,quote
17,Tansonville,-4.7415423,8.814917,10.0,"suis, méséglise, gilberte, enverrait, tansonville","est un autre genre de vie qu’on mène à Tansonville,
chez Mme de Saint-Loup, un"
18,Débats roses,-2.6726382,5.918896,5.0,"bord, finit, numéro, débats, cimenter","le bord du lit, et
un numéro des Débats roses, qu’on finit par cimenter ensemble selon la
"
19,"hirondelle
de mer",-3.7288115,6.154976,5.0,"sentir, séparé, nid, hirondelle, souterrain","est de se sentir séparé du dehors (comme l’hirondelle
de mer qui a son nid au fond d’un souterrain dans"
20,lune,-4.945841,6.7791433,7.16227766016838,"aube, juin, soleil, clair, lune","uni à la nuit tiède, où le clair de lune
appuyé aux volets entrouverts, jette jusqu’au pied"
21,Louis XVI,-0.25276154,6.1214356,7.0,"émaillés, hortensias, orangerie, louis, xvi","pointe d’un rayon ; – parfois la chambre Louis XVI, si
gaie que même le premier soir je"
22,le bon ange,-1.626351,7.4606457,5.0,"dernière, ange, certitude, arrêté, viré",", mon corps avait
viré une dernière fois et le bon ange de la certitude avait tout arrêté autour
de moi"
23,Balbec,-4.887386,8.828409,29.709920264364882,"plage, étais, année, séjour, balbec","autrefois, à Combray chez ma
grand-tante, à Balbec, à Paris, à Doncières, à Venise,"
24,Paris,-4.7991633,8.861982,26.38302928559939,"rentrer, train, quitter, balbec, paris","Combray chez ma
grand-tante, à Balbec, à Paris, à Doncières, à Venise, ailleurs encore,"
25,Doncières,-4.7893095,8.758583,13.219544457292887,"resterais, loup, étais, station, doncières","
grand-tante, à Balbec, à Paris, à Doncières, à Venise, ailleurs encore, à me
"
26,Venise,-4.946384,8.695147,15.532562594670797,"aller, serais, désir, florence, venise","à Balbec, à Paris, à Doncières, à Venise, ailleurs encore, à me
rappeler les lieux"
27,Golo,0.344778,7.1605697,7.0,"brabant, cheval, surnaturelle, lanterne, golo","fer.
Au pas saccadé de son cheval, Golo, plein d’un affreux
dessein, sortait de"
28,Geneviève de Brabant,0.3613096,7.2021623,6.82842712474619,"château, guermantes, descendante, brabant, geneviève","avançait en tressautant vers le château de la
pauvre Geneviève de Brabant. Ce château était coupé selon une ligne courbe qui"
29,Geneviève,0.3902352,7.1697173,5.0,"rêvait, geneviève, bleue, ceinture, lande","et
il avait devant lui une lande où rêvait Geneviève qui portait une ceinture
bleue. Le château et"
30,Brabant,0.24455611,7.1328535,6.23606797749979,"mordorée, usurpé, châssis, dernier, brabant","du châssis, la sonorité
mordorée du nom de Brabant me l’avait montrée avec évidence. Golo s’arrêtait"
31,"porte de ma
chambre",-3.5298898,7.3840284,5.0,"sentir, boutons, tristes, différait, bouton","sentir, choses si tristes. Ce bouton de la porte de ma
chambre, qui différait pour moi de tous les autres boutons"
32,Barbe-Bleue,0.4059808,7.4053907,5.0,"ignorante, boeuf, bleue, golo, suspension","de la suspension, ignorante de Golo et de
Barbe-Bleue, et qui connaissait mes parents et le boeuf à"
33,Françoise,-4.8046904,8.828537,29.37715508089904,"cuisine, léonie, tante, eulalie, françoise",", même quand la
pluie faisait rage et que Françoise avait précipitamment rentré les précieux
fauteuils d’osier de"
34,"– à
un des moments où la révolution",-0.7650476,6.080028,5.0,"rentrer, promenade, révolution, ramenait, périodiquement","le pouvoir de la faire rentrer : c’était – à
un des moments où la révolution de sa promenade la ramenait périodiquement, comme
un"
35,cognac !,-1.671542,9.839174,5.414213562373095,"mari, empêcher, viens, boire, cognac","!
viens donc empêcher ton mari de boire du cognac ! » Pour la taquiner,
en effet ("
36,Roussainville-le-Pin,-4.7701244,6.959559,5.414213562373095,"servit, donjon, refuge, roussainville, pin","on voyait pendant
le jour jusqu’au donjon de Roussainville-le-Pin, servit longtemps de refuge
pour moi, sans"
37,volupté,-3.5037992,7.037461,5.732050807568877,"inintellectualité, régnaient, funestes, rajeunissante, volupté","la lecture, la rêverie, les larmes et la volupté. Hélas ! je
ne savais pas que"
38,M. Swann,-4.773014,8.831848,11.681145747868609,"étrangers, maman, giotto, reproductions, swann","dire bonsoir. Le monde se bornait
habituellement à M. Swann, qui, en dehors de quelques étrangers de passage"
39,"grand
marronnier",-3.838686,7.356888,5.0,"assis, soirs, fer, entendions, marronnier","Les soirs où, assis devant la maison sous le grand
marronnier, autour de la table de fer, nous entendions"
40,M. Swann ,-3.2467422,9.718885,5.414213562373095,"faites, haute, prête, swann, regardé","mais on savait bien que cela ne pouvait être que M. Swann ; ma grand-tante
parlant à haute voix, pour"
41,Bressant,0.21384802,5.888912,5.414213562373095,"roux, blonds, coiffés, gardions, bressant","entouré de cheveux blonds presque roux, coiffés à la Bressant, parce que
nous gardions le moins de lumière"
42,"homme
excellent",-1.7745249,8.139427,5.0,"amis, paraît, excellent, meilleurs, singulier","avait été un des meilleurs amis de son père, homme
excellent mais singulier, chez qui, paraît-il, un"
43,"chambre
mortuaire",-3.9601705,7.4666653,5.0,"quitter, firent, parc, pleurs, mortuaire","faire quitter un moment, tout en pleurs, la chambre
mortuaire. Ils firent quelques pas dans le parc où il"
44,soleil,-5.135229,8.351469,10.32455532033676,"rayon, balcon, semblaient, lumière, soleil","dans le parc où il y avait un peu de soleil.
Tout d’un coup, M. Swann"
45,Ah !,-4.7523503,9.124096,18.352700094407325,"te, ça, gueule, tapette, ah","de nuit. Sentez-vous ce petit vent ? Ah ! on a beau dire, la vie a du
"
46,Amédée !,-1.7506425,9.630943,5.0,"cher, souvenir, morte, brusquement, amédée","a du
bon tout de même, mon cher Amédée ! » Brusquement le souvenir de sa
femme morte"
47,"incognito
",-3.3640509,7.499274,5.0,"sous, famille, espèce, fréquentée, incognito","avait fréquentée sa famille et que sous l’espèce d’incognito
que lui faisait chez nous ce nom de Swann,"
48,"– avec la
parfaite innocence d’honnêtes hôteliers",-4.6712155,6.618204,5.0,"parfaite, innocence, honnêtes, hôteliers, hébergeaient","faisait chez nous ce nom de Swann, ils hébergeaient – avec la
parfaite innocence d’honnêtes hôteliers qui ont chez eux, sans le savoir, un"
49,brigand ,-1.5050942,6.2767563,5.0,"célèbre, jockey, membres, élégants, brigand","chez eux, sans le savoir, un
célèbre brigand – un des membres les plus élégants du Jockey-"
50,Jockey-Club,-1.4332218,6.4960847,5.732050807568877,"antre, brigand, membres, jockey, club","brigand – un des membres les plus élégants du Jockey-Club, ami
préféré du comte de Paris et du"
51,prince de Galles,-0.78625184,7.319592,6.82842712474619,"ami, choyés, discordante, prince, galles",", ami
préféré du comte de Paris et du prince de Galles, un des hommes les plus choyés
de la"
52,"choyés
de la haute société",-3.931414,4.7898116,5.0,"haute, germain, ignorance, galles, choyés","du prince de Galles, un des hommes les plus choyés
de la haute société du faubourg Saint-Germain.
L’ignorance où nous étions"
53,Saint-Germain,-4.230498,4.956742,12.12403840463596,"étoiles, cuir, saint, faubourg, germain","les plus choyés
de la haute société du faubourg Saint-Germain.
L’ignorance où nous étions de cette brillante"
54,Orléans,-0.40808043,7.137314,6.82842712474619,"wagons, infamant, quai, guise, orléans","de visiter, mais qui
était situé quai d’Orléans, quartier que ma grand-tante trouvait infamant d’habiter."
55,cocher,-4.1077905,8.344573,6.645751311064591,"demeuraient, remonté, consanguine, cuisinière, cocher","de Combray, avec notre
cuisinière, avec notre cocher. Certes ces récits faisaient rire ma grand-tante,
"
56,Swann !,-2.7976303,10.063281,5.414213562373095,"êtes, type, comble, hurla, swann","peut dire que vous êtes un vrai type, monsieur Swann ! » Comme elle
était la seule personne un"
57,boulevard Haussmann,-3.9982295,5.1229844,5.414213562373095,"glacier, travailleur, déblayait, boulevard, haussmann","aurait pu, s’il
avait voulu, habiter boulevard Haussmann ou avenue de l’Opéra, qu’il était le"
58,avenue de l’Opéra,-4.755663,6.070529,5.0,"opéra, avenue, habiter, boulevard, haussmann","s’il
avait voulu, habiter boulevard Haussmann ou avenue de l’Opéra, qu’il était le
fils de M. "
59,Entrepôt des,-2.9826493,10.40616,5.0,"sûr, manquer, habitez, vins, entrepôt","Monsieur Swann, vous habitez
toujours près de l’Entrepôt des vins, pour être sûr de ne pas manquer le"
60,Aristée,-2.4585636,5.6234555,5.0,"compris, personnellement, liée, lettrée, aristée","plus lettrée la
pensée d’être personnellement liée avec Aristée dont elle aurait compris qu’il
allait, après"
61,Thétis,-0.3900729,5.9342237,5.0,"mortels, soustrait, plonger, royaumes, thétis","causé avec elle, plonger au sein des royaumes de Thétis, dans
un empire soustrait aux yeux des mortels"
62,Virgile,-1.8578833,6.4679,7.741657386773941,"sereine, supplicié, horace, platon, virgile","
un empire soustrait aux yeux des mortels et où Virgile nous le montre reçu à
bras ouverts ;"
63,– pour,-2.0866745,8.512199,5.0,"tenir, image, bras, montre, ouverts","le montre reçu à
bras ouverts ; ou – pour s’en tenir à une image qui avait plus de"
64,Combray ,-4.8346577,7.0929074,7.464101615137754,"embranchais, opus, francigenum, posent, combray","vu peinte sur nos assiettes à
petits fours de Combray – d’avoir eu à dîner Ali-Baba,"
65,Ali-Baba,-5.0259333,6.9474106,6.0,"déchiffrait, lampe, aladin, baba, ali","fours de Combray – d’avoir eu à dîner Ali-Baba, lequel quand il se
saura seul, pénétrera"
66,– « Oui,-1.1406714,8.024488,5.0,"oui, demi, chez, dîné, princesse","avait dîné « chez une princesse », – « Oui, chez une princesse
du demi-monde ! "
67,"princesse
du demi-monde !",-1.1831869,7.594242,5.0,"tante, demi, répondu, épaules, haussant"," », – « Oui, chez une princesse
du demi-monde ! » avait répondu ma tante en haussant les épaules"
68,d’Italie,-1.5830691,5.9571486,5.0,"chefs, photographies, italie, rapporté, voyages","de son jardin et que de chacun de ses voyages d’Italie il m’eût
rapporté des photographies de chefs-"
69,– mi-mémoire,-3.4212701,7.158141,5.0,"passées, résidu, oisives, dépréciés, mi","ces yeux dépréciés, le
vague et doux résidu – mi-mémoire, mi-oubli – des heures oisives
passées ensemble"
70,mi-oubli ,-3.426978,7.8351507,5.0,"oubli, passées, résidu, oisives, mi","le
vague et doux résidu – mi-mémoire, mi-oubli – des heures oisives
passées ensemble après nos dîners"
71,marquise de Villeparisis,-0.74348766,9.426697,6.645751311064591,"demanderez, mémorialiste, vieille, villeparisis, marquise","en relations
malgré une sympathie réciproque), la marquise de Villeparisis de la célèbre
famille de Bouillon, celle-ci lui"
72,Bouillon,-0.7376834,9.525829,6.0,"généalogique, duval, cornette, parfaitement, bouillon","la marquise de Villeparisis de la célèbre
famille de Bouillon, celle-ci lui avait dit : « Je"
73,Laumes,-4.5954766,9.36557,8.79583152331272,"es, trémoïlle, chez, princesse, laumes","Swann qui est un grand ami de mes neveux des Laumes. »
Ma grand-mère était revenue de sa"
74,Mme de Villeparisis,-4.8163657,8.977556,21.233687939614086,"neveu, archiviste, mme, leroi, villeparisis","la maison qui
donnait sur des jardins et où Mme de Villeparisis lui
conseillait de louer, et aussi par un"
75,giletier,-4.846673,9.160566,7.464101615137754,"observa, cour, ancien, boutique, giletier","lui
conseillait de louer, et aussi par un giletier et sa fille, qui avaient leur
boutique dans"
76,Ma grand-mère,-2.1569018,7.6276913,5.732050807568877,"préparatifs, parfaits, grand, déchirée, mère","sa jupe qu’elle avait déchirée dans l’escalier. Ma grand-mère avait trouvé
ces gens parfaits, elle déclarait que"
77,Swann ?,-2.7145875,9.875442,6.0,"monsieur, comment, prétendais, martial, swann","le
fréquenter. « Comment, elle connaît Swann ? Pour une personne que tu
prétendais parente du maréchal"
78,maréchal de Mac-Mahon !,-0.06252284,7.67005,5.0,"maréchal, parente, prétendais, mac, mahon","? Pour une personne que tu
prétendais parente du maréchal de Mac-Mahon ! » Cette opinion de mes
parents sur les"
79,– supposant,-1.1972742,8.5969305,5.0,"pouvoir, prise, juger, crurent, supposant","moins, mais d’après laquelle ils crurent pouvoir juger – supposant que
c’était là qu’il l’avait prise"
80,"M. Swann
était",-0.6229472,7.61183,5.0,"fidèles, dimanche, habitués, déjeuners, lut","une fois, mon grand-père lut dans un journal que M. Swann
était un des plus fidèles habitués des déjeuners du dimanche chez"
81,duc de X,-0.41238815,7.5787024,5.0,"oncle, fidèles, dimanche, habitués, déjeuners","des plus fidèles habitués des déjeuners du dimanche chez le duc de X…,
dont le père et l’oncle avaient"
82,État,-4.817792,8.799464,9.291502622129181,"homme, secrétaire, hommes, chef, état","le père et l’oncle avaient été les hommes d’État les plus en vue du règne
de Louis-Philippe."
83,Molé,-0.73142487,10.08355,8.69041575982343,"reine, absence, pasquier, comtesse, molé","par la pensée dans la vie privée d’hommes comme Molé,
comme le duc Pasquier, comme le duc"
84,duc Pasquier,0.08897023,6.8101387,5.0,"enchanté, broglie, duc, pasquier, privée","vie privée d’hommes comme Molé,
comme le duc Pasquier, comme le duc de Broglie. Il fut enchanté"
85,duc de Broglie,0.056158032,6.639294,6.0,"haussonville, épousa, montalembert, duc, broglie","Molé,
comme le duc Pasquier, comme le duc de Broglie. Il fut enchanté d’apprendre que
Swann fréquentait"
86,"– ayant
fini",-4.191526,8.073044,5.0,"mondaine, momentanée, rattacher, auditif, inutilité","rattacher à la vie mondaine, que leur sens auditif – ayant
fini par comprendre son inutilité momentanée dès qu’à dîner la"
87,chers ,-1.4157535,6.467703,5.0,"demoiselles, repos, chers, organes, récepteurs","demoiselles aient pu la ramener aux sujets qui leur étaient chers –, mettait
alors au repos ses organes récepteurs"
88,Asti,-3.618772,9.726091,5.732050807568877,"remerciement, caisse, céline, vin, asti","leur avait personnellement envoyé une caisse de
vin d’Asti, ma tante, tenant un numéro du Figaro où"
89,Figaro,-0.9422917,10.571876,6.449489742783178,"abonnés, acheteurs, déconseilla, envoyée, figaro","d’Asti, ma tante, tenant un numéro du Figaro où à côté du nom d’un
tableau qui"
90,Corot,-3.8076375,5.136723,5.414213562373095,"photographies, cloud, exposition, hubert, corot","d’un
tableau qui était à une exposition de Corot, il y avait ces mots : « "
91,M. Charles Swann ,-1.3677657,10.103566,5.0,"swann, avez, mots, charles, collection","mots : « de
la collection de M. Charles Swann », nous dit : « Vous avez"
92,Figaro ?,-0.96473914,10.580989,5.0,"ai, toujours, vu, figaro, honneurs","
vu que Swann a “les honneurs” du Figaro ? — Mais je vous ai
toujours dit qu’"
93,Swann ,-4.609141,8.941249,7.3166247903554,"frotteur, assaisonner, clochette, parents, swann","de la clochette. On
savait que c’était Swann ; néanmoins tout le monde se regarda d’un air"
94,Ma mère,-4.7121897,8.767008,9.291502622129181,"gare, revenue, samedi, ma, mère","beau demain »,
dit mon père. Ma mère pensait qu’un mot d’elle effacerait toute la peine"
95,« Voyons,-2.8158953,10.05336,7.0,"prêtant, embrassa, releva, acclame, voyons","autres soirs la consolation qu’elle vînt m’embrasser. « Voyons, monsieur
Swann, lui dit-elle, parlez"
96,"monsieur
Swann",-2.6475868,9.860444,5.414213562373095,"embrasser, beauvais, touché, monsieur, partirez","qu’elle vînt m’embrasser. « Voyons, monsieur
Swann, lui dit-elle, parlez-moi un peu de"
97,parlez-moi un peu de votre fille ;,-2.6405234,9.943995,5.0,"suis, goût, voyons, parlez, sûre","Voyons, monsieur
Swann, lui dit-elle, parlez-moi un peu de votre fille ; je suis sûre qu’elle
a déjà le goût"
98,duc d’Audiffret-Pasquier,-0.090926915,7.2540617,5.0,"premiers, éprouver, pasquier, fissent, audiffret","que
mon grand-père faisait pour parler à Swann du duc d’Audiffret-Pasquier, sans
que les premiers me fissent éprouver aucune"
99,Céline,-3.5789223,9.624715,6.449489742783178,"toi, tante, vin, asti, céline","l’autre : « Imagine-toi, Céline, que
j’ai fait la connaissance d’une"
100,Flora,-3.6415887,9.5013485,6.0,"remerciement, remercié, significatif, tante, flora"," Je crois
bien ! répondit sa soeur Flora, mais je n’ai pas perdu mon temps non"
101,M. Vinteuil,-4.8270397,8.575927,9.291502622129181,"sa, montjouvain, renoncement, fille, vinteuil","mon temps non plus. J’ai
rencontré chez M. Vinteuil un vieux savant qui connaît beaucoup Maubant, et
"
102,Maubant,-2.0058913,8.6041765,6.0,"suédoises, connaît, savant, expliqué, maubant","chez M. Vinteuil un vieux savant qui connaît beaucoup Maubant, et
à qui Maubant a expliqué dans le"
103,enviât Swann,-3.272012,8.086224,5.0,"soeur, pût, inspiré, soit, enviât","d’esprit de
sa soeur, soit qu’elle enviât Swann de l’avoir inspiré, soit qu’elle ne pût"
104,Flora ,-1.4108962,9.276409,5.0,"réussir, met, pourra, maubant, flora","pourra réussir à avoir ce monsieur à dîner, continua Flora ; quand
on le met sur Maubant ou sur"
105,Mme Materna,-1.8688821,8.14474,5.0,"parle, arrêter, met, maubant, materna","; quand
on le met sur Maubant ou sur Mme Materna, il parle des heures sans
s’arrêter."
106,"comte de
Paris",-0.9476092,10.026261,5.0,"comte, tenez, molé, intime, récit","un récit sur la vie intime de Molé ou du comte de
Paris. « Tenez, dit Swann à mon grand-père"
107,Saint-Simon,0.10806993,7.0199842,9.099019513592784,"autres, aimait, raconte, saint, simon","pas énormément changé. Je relisais ce matin
dans Saint-Simon quelque chose qui vous aurait amusé. C’est dans"
108,Espagne,-0.67323464,6.1307735,7.0,"susurrement, imperturbablement, égypte, palestine, espagne","C’est dans le volume sur
son ambassade d’Espagne ; ce n’est pas un des meilleurs,"
109,Corot de Swann,-0.89680624,10.630145,5.0,"montrer, lu, figaro, corot, parlent","pour montrer qu’elle avait lu la phrase sur le Corot de Swann dans Le
Figaro. « Quand ils parlent"
110,"Le
Figaro",-0.93349147,10.588699,6.645751311064591,"consciencieusement, étonnerait, argenter, désira, figaro","avait lu la phrase sur le Corot de Swann dans Le
Figaro. « Quand ils parlent de choses ou de"
111,Grèce,-1.215897,6.0004754,8.79583152331272,"engagements, intervenir, protectrice, serbie, grèce","« que nous
lirions que la reine de Grèce est allée à Cannes ou que la princesse de Léon"
112,Cannes,-0.20356214,5.379481,6.645751311064591,"leuthen, crûment, lirions, duchesse, cannes","
lirions que la reine de Grèce est allée à Cannes ou que la princesse de Léon a
donné un"
113,Léon,-1.2758368,5.9605675,6.449489742783178,"ébahissement, 11, heures, frère, léon","Grèce est allée à Cannes ou que la princesse de Léon a
donné un bal costumé. Comme cela la"
114,Maulévrier,0.20265773,7.044931,5.414213562373095,"simon, tendre, raconte, audace, maulévrier","grand-père : « Donc Saint-Simon raconte que
Maulévrier avait eu l’audace de tendre la main à ses"
115,Mlle Céline,0.07351455,7.058972,5.0,"mlle, simon, ignorance, céline, panneau","sur « ignorance ou panneau », mais Mlle Céline,
chez qui le nom de Saint-Simon – "
116,ç’,-3.7875721,8.174197,5.732050807568877,"matérielle, été, étourdi, efflorescence, sécrétés","
à plusieurs reprises devant le monde, comme si ç’avait été dans ma chambre. Aussi
je me"
117,bonsoir,-1.0613171,11.187079,6.0,"manifestations, philibert, antioche, gouvernet, bonsoir",", laisse ta mère, vous vous êtes assez dit bonsoir comme
cela, ces manifestations sont ridicules. Allons"
118,Molière,-5.045826,8.999652,8.123105625617661,"orbi, quarte, concourait, savez, molière","de l’eau
ou que comme un vers de Molière que nous nous répétons sans arrêter, c’est un"
119,saint Théophile,-1.2136214,10.859061,5.0,"sculptures, délicates, aymon, théophile, représentent","milieu de délicates sculptures qui représentent le
miracle de saint Théophile ou les quatre fils Aymon. Dans le cas particulier"
120,Aymon,-1.1580591,10.62315,5.0,"quatre, article, miracle, aymon, théophile","le
miracle de saint Théophile ou les quatre fils Aymon. Dans le cas particulier, l’article
du"
121,"incendie
Françoise",-0.07750731,6.4856606,5.0,"sauf, probable, allât, déranger, incendie","duquel il était peu probable que sauf le cas d’incendie
Françoise allât déranger maman en présence de M. Swann pour"
122,"– comme pour les morts, les prêtres",-2.4294164,6.28452,5.0,"respect, morts, rois, professait, prêtres","respect qu’elle professait non
seulement pour les parents – comme pour les morts, les prêtres et les rois –
mais encore pour l’"
123,"fâchée
si",-1.8276062,8.696902,5.0,"pense, certainement, fâchée, prié, remettait","prié de chercher ; et elle serait certainement très fâchée
si on ne lui remettait pas ce mot. Je pense"
124,– le « granité,-3.115734,7.1889615,5.0,"instant, bouche, glace, granité, rince","y avait un instant
encore, la glace elle-même – le « granité » – et les
rince-bouche"
125,Françoise ,-4.066078,9.422952,6.0,"deuil, ri, intentionné, méditation, françoise","l’aimons – comme en ce moment j’aimais Françoise –, l’intermédiaire
bien intentionné qui d’un"
126,suppliciantes,-3.5986876,6.9361835,5.0,"goûter, inconnus, inaccessibles, suppliciantes, démoniaque","avoir de bien
démoniaque. Ces heures inaccessibles et suppliciantes où elle allait goûter des
plaisirs inconnus, voici"
127,– de même,-4.2478266,8.097114,5.414213562373095,"invariablement, compensation, annuler, ultérieure, voyage","bien, je vais attendre encore. » Et – de même qu’elle
assure invariablement n’avoir pas besoin du"
128,Conservatoire,-4.595352,9.308019,7.3166247903554,"ceci, premier, fable, prix, conservatoire","motifs en sourdine si bien exécutés par l’orchestre du Conservatoire, que
quoiqu’on n’en perde pas une"
129,"– les soeurs de ma
grand-mère",-2.5778759,6.9967084,5.0,"salle, soeurs, concert, places, abonnés","
salle du concert et que tous les vieux abonnés – les soeurs de ma
grand-mère aussi quand Swann leur avait donné ses places –"
130,rue de Trévise,-4.5141506,5.4808702,5.0,"cas, savais, marche, tourné, trévise","en marche qui n’aurait
pas encore tourné la rue de Trévise.
Je savais que le cas dans lequel je"
131,Maman,-4.766487,8.910778,8.47213595499958,"mit, paraître, sazerat, faute, maman","de partir, j’allai à
la fenêtre. Maman demandait à mon père s’il avait trouvé la langouste"
132,Charlus,-4.739429,9.044862,14.0,"oncle, loi, morel, baron, charlus","au su de tout Combray avec un certain monsieur de Charlus. C’est
la fable de la ville."
133,"ma
mère",-2.687439,7.6376143,5.0,"seuls, prix, vin, restèrent, assirent","prix du vin ! » Mon père et ma
mère restèrent seuls, et s’assirent un instant ;"
134,porte treillagée,-1.8562555,7.265276,5.0,"escalier, ouvrit, vestibule, treillagée, déshabiller","
déshabiller. » Et ma mère ouvrit la porte treillagée du vestibule qui
donnait sur l’escalier. Bientôt"
135,"bougie
de maman",-3.2950237,7.4934254,5.0,"lumière, escalier, bougie, projetée, cage","la cage de l’escalier la lumière projetée par la bougie
de maman. Puis je la vis elle-même ; je m’"
136,Inde,-3.7395575,6.4196024,5.0,"blanche, nouait, violet, inde, cachemire","robe de nuit blanche sous le
cachemire de l’Inde violet et rose qu’il nouait autour de sa tête"
137,Abraham,-1.2320048,10.645749,5.414213562373095,"benozzo, veau, névralgies, bélier, abraham","il
avait des névralgies, avec le geste d’Abraham dans la gravure d’après Benozzo
Gozzoli que m’"
138,"Benozzo
Gozzoli",-1.3960127,10.686484,5.0,"geste, gozzoli, gravure, benozzo, abraham","avec le geste d’Abraham dans la gravure d’après Benozzo
Gozzoli que m’avait donnée M. Swann, disant à"
139,Sarah,-5.746028,8.143909,5.414213562373095,"comparaison, dramatique, liste, départir, sarah","que m’avait donnée M. Swann, disant à Sarah qu’elle a à se
départir du côté d’"
140,Isaac,-2.3196478,6.8376184,5.0,"cela, côté, années, départir, isaac","qu’elle a à se
départir du côté d’Isaac. Il y a bien des années de cela."
141,Madame,-4.572576,9.304791,11.071067811865476,"facile, monsieur, voyons, exagère, madame","
gronder, lui demanda : « Mais Madame, qu’a donc Monsieur à pleurer
ainsi "
142,Monsieur,-4.7498198,9.120511,14.14889156509222,"mens, francs, peux, mademoiselle, monsieur"," : « Mais Madame, qu’a donc Monsieur à pleurer
ainsi ? » maman lui"
143,"maman
",-4.152068,7.9199624,5.414213562373095,"enchanté, paquet, contraire, maman, thé"," ? » J’étais au contraire enchanté et maman
alla chercher un paquet de livres dont je ne pus"
144,La Mare au Diable,-1.8222293,5.231742,5.0,"diable, soie, champi, mare, fadette","vers à soie de l’an dernier. C’était La Mare au Diable, François
le Champi, La Petite Fadette et"
145,"François
le Champi",-1.7891277,5.2974205,6.23606797749979,"égaux, reprends, attacherais, françois, champi","an dernier. C’était La Mare au Diable, François
le Champi, La Petite Fadette et Les Maîtres sonneurs. Ma"
146,La Petite Fadette,-1.8454777,5.178041,5.414213562373095,"mare, légendes, compromis, sonneurs, fadette","La Mare au Diable, François
le Champi, La Petite Fadette et Les Maîtres sonneurs. Ma grand-mère,
ai"
147,Les Maîtres sonneurs,-1.7596288,5.1724095,5.0,"maîtres, françois, champi, fadette, sonneurs",", François
le Champi, La Petite Fadette et Les Maîtres sonneurs. Ma grand-mère,
ai-je su depuis,"
148,Musset,-5.0899835,9.565381,7.3166247903554,"tour, vers, espoir, poète, musset","su depuis, avait d’abord choisi les poésies de Musset, un volume de
Rousseau et Indiana ;"
149,Rousseau,-1.088116,4.9293475,5.414213562373095,"lectures, indiana, disciples, révolutionnaires, rousseau","choisi les poésies de Musset, un volume de
Rousseau et Indiana ; car si elle jugeait les lectures"
150,Indiana ,-1.3304592,4.9320583,5.0,"rousseau, poésies, lectures, indiana, futiles","poésies de Musset, un volume de
Rousseau et Indiana ; car si elle jugeait les lectures futiles
aussi"
